Event Type,Event Name,Request ID,User ID,Request Parameters,Alert,Event ID,Event DateTime,Alarm DateTime,Source IP,Request User Agent,Repeated Attempts
AwsApiCall,ListObjects,M5FHXJ3BMB7FGMVJ,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 96-2021-05-25T07:51:46Z,a45517fc-ab99-4a00-8825-cd8f60fa03ad,2021-05-25T07:51:46Z,2021-05-25T07:56:33.533779+00:00,84.22.149.33,Go-http-client/1.1,1
AwsApiCall,HeadBucket,8K7FTJPKZGFPBTEF,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 95-2021-05-22T07:52:31Z,d4a24f0d-c5b2-4fb5-9e71-f5632ecad378,2021-05-22T07:52:31Z,2021-05-22T07:55:22.299779+00:00,158.46.216.148,Go-http-client/1.1,1
AwsApiCall,HeadBucket,PJFBFVAEG9W10VMA,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 94-2021-05-19T09:50:32Z,fa3e6156-97bc-4d7f-bbf5-c321b697daba,2021-05-19T09:50:32Z,2021-05-19T09:54:29.254909+00:00,91.202.233.169,Go-http-client/1.1,1
AwsApiCall,HeadBucket,KWZ2T14JNWGC22C7,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 93-2021-05-16T14:44:21Z,345b61bd-e54d-494d-b6c9-bb991296139d,2021-05-16T14:44:21Z,2021-05-16T14:48:40.776640+00:00,95.217.207.120,aws-sdk-go/1.35.1 (go1.14.4; linux; amd64),1
AwsApiCall,ListObjects,8NHDADYDRK0BW0ZA,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'list-type': '2', 'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.eu-west-1.amazonaws.com'}", 92-2021-05-16T08:45:39Z,a6ad1a7c-c6c1-4c5a-91e4-d25911b61c86,2021-05-16T08:45:39Z,2021-05-16T08:47:07.750580+00:00,178.171.102.15,Go-http-client/1.1,1
AwsApiCall,HeadBucket,EF69GEJDQMJ59T8H,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 91-2021-05-13T08:49:58Z,4f4199b8-2f0e-4c1d-a800-4c4aadb7ae66,2021-05-13T08:49:58Z,2021-05-13T08:52:16.452460+00:00,191.101.95.198,Go-http-client/1.1,1
AwsApiCall,HeadBucket,JKZ3CTYNCC0RWCAP,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 90-2021-05-10T08:58:37Z,ba42971a-7d66-4f98-98b6-42fba7a24dc8,2021-05-10T08:58:37Z,2021-05-10T09:02:39.793486+00:00,92.240.200.226,Go-http-client/1.1,1
AwsApiCall,HeadBucket,3N0WADKP18C7AZPY,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 89-2021-05-07T14:11:47Z,4cb8b0d3-e4e9-426e-90af-dae7ae4265f6,2021-05-07T14:11:47Z,2021-05-07T14:13:27.613193+00:00,213.182.203.165,Go-http-client/1.1,1
AwsApiCall,HeadBucket,SWV39R1WN1WKYJ31,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 88-2021-05-06T00:08:59Z,370105db-3ca9-45db-8200-d73f80ec8d68,2021-05-06T00:08:59Z,2021-05-06T00:13:37.136056+00:00,92.240.204.122,Go-http-client/1.1,1
AwsApiCall,HeadBucket,SHZWDPY0E2JFZ787,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 87-2021-05-04T17:19:46Z,fef7f721-a3d2-407d-8bdb-df126902aaf6,2021-05-04T17:19:46Z,2021-05-04T17:23:35.410158+00:00,213.182.198.93,Go-http-client/1.1,1
AwsApiCall,HeadBucket,PD5ABY08YCDKXPEG,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 86-2021-05-03T11:42:00Z,418a7b85-f733-4a7e-8b4f-c3e8372cedac,2021-05-03T11:42:00Z,2021-05-03T11:45:14.725628+00:00,185.201.130.54,Java/11.0.11,1
AwsApiCall,HeadBucket,4JH5CD4W079M7S93,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 85-2021-05-01T13:56:51Z,c9af6d65-efd8-4b62-87f9-6315378aeceb,2021-05-01T13:56:51Z,2021-05-01T14:00:11.575553+00:00,185.15.179.150,Go-http-client/1.1,1
AwsApiCall,HeadBucket,AHPT9XWM29H1BP0X,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 84-2021-04-28T08:19:53Z,48962aa6-c980-4cb7-a55d-bd156aca5d53,2021-04-28T08:19:53Z,2021-04-28T08:24:00.548942+00:00,109.70.66.18,Go-http-client/1.1,1
AwsApiCall,HeadBucket,F3JCAD3DMBB28YTN,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 83-2021-04-25T10:26:20Z,43d4c92a-0306-4830-a5b2-47b031eb97d9,2021-04-25T10:26:20Z,2021-04-25T10:30:10.559718+00:00,194.5.0.12,Go-http-client/1.1,1
AwsApiCall,HeadBucket,K2HTSCVVM4DPAZR6,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 82-2021-04-22T08:20:37Z,0c683f46-a0a3-4b7d-bcf2-9e86a24ffdec,2021-04-22T08:20:37Z,2021-04-22T08:24:14.874317+00:00,107.181.71.104,Go-http-client/1.1,1
AwsApiCall,HeadBucket,C4SDZ5BG90NRP7MK,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 81-2021-04-19T09:19:07Z,831d840d-d927-43d1-944e-0259dd18a81d,2021-04-19T09:19:07Z,2021-04-19T09:20:28.097335+00:00,91.132.126.83,Go-http-client/1.1,1
AwsApiCall,HeadBucket,A3TD29FP51CWTVGB,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 80-2021-04-16T09:02:10Z,3e474de8-0a8f-4601-b8df-f442fbcbaf42,2021-04-16T09:02:10Z,2021-04-16T09:04:48.611101+00:00,158.46.186.178,Go-http-client/1.1,1
AwsApiCall,HeadBucket,XYMCVFMHB5X84W51,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 79-2021-04-15T08:17:40Z,356ec7a6-3c0c-4a85-8bd6-6169a571fd3b,2021-04-15T08:17:40Z,2021-04-15T08:21:32.554937+00:00,34.77.163.42,Boto3/1.17.48 Python/3.7.1 Linux/5.4.0-1032-gke Botocore/1.20.48 Resource,1
AwsApiCall,ListObjects,14WYG0FC0F1CJXWH,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 78-2021-04-14T19:44:06Z,b73f2904-9f5c-44ed-b672-42d88d8bd1be,2021-04-14T19:44:06Z,2021-04-14T19:45:26.062642+00:00,34.77.163.42,Boto3/1.17.48 Python/3.7.1 Linux/5.4.0-1032-gke Botocore/1.20.48 Resource,1
AwsApiCall,ListObjects,2S3W4E1G070Z37YV,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 77-2021-04-14T06:25:32Z,f490129c-1a92-471b-9bab-73b02e37b303,2021-04-14T06:25:32Z,2021-04-14T06:29:24.032642+00:00,34.78.120.99,Boto3/1.17.49 Python/3.7.1 Linux/5.4.0-1032-gke Botocore/1.20.49 Resource,1
AwsApiCall,ListObjects,K1CZEW7AVXN905RW,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 76-2021-04-13T13:14:30Z,9fecb2e1-17ba-4a26-96d7-ed12d9c34ab1,2021-04-13T13:14:30Z,2021-04-13T13:16:05.627990+00:00,91.202.233.41,Go-http-client/1.1,1
AwsApiCall,HeadBucket,B4FEG7K6F8S6V8NZ,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 75-2021-04-13T06:14:14Z,06589a43-7ed2-4b6f-8154-ef9d475dbf56,2021-04-13T06:14:14Z,2021-04-13T06:17:32.363548+00:00,91.241.164.237,Go-http-client/1.1,1
AwsApiCall,HeadBucket,8NRZRADH5VE0WAYZ,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 74-2021-04-10T08:41:43Z,d7b08efe-99e6-473d-bca7-8d38cdebd455,2021-04-10T08:41:43Z,2021-04-10T08:42:59.209423+00:00,109.70.67.168,Go-http-client/1.1,1
AwsApiCall,HeadBucket,9R3MCTF3VN0XYDEW,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 73-2021-04-09T18:54:30Z,07555d3c-f112-4905-ad7e-3d5a03696be0,2021-04-09T18:54:30Z,2021-04-09T18:56:06.776155+00:00,109.70.66.130,Go-http-client/1.1,1
AwsApiCall,HeadBucket,RM69JPQWJ262MSDA,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 72-2021-04-08T17:26:30Z,0632b1a5-72ea-45a3-afa1-ed4f9df2cf29,2021-04-08T17:26:30Z,2021-04-08T17:28:08.005849+00:00,158.46.187.198,Go-http-client/1.1,1
AwsApiCall,HeadBucket,5EYSMZKDC108SJ7A,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 71-2021-04-07T13:16:24Z,2e7ba000-87c2-4a72-bb9c-91596465348f,2021-04-07T13:16:24Z,2021-04-07T13:21:39.388121+00:00,185.201.130.113,Go-http-client/1.1,1
AwsApiCall,HeadBucket,9DTPG4DF584K37T6,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 70-2021-04-04T08:05:44Z,05da143e-b16e-486b-a65e-a880f85ae6d5,2021-04-04T08:05:44Z,2021-04-04T08:10:53.878080+00:00,178.171.60.126,Go-http-client/1.1,1
AwsApiCall,HeadBucket,14MTA7Q5SV0017JF,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 69-2021-04-01T08:30:30Z,280cb77c-cafa-4fbc-9483-06eb32fde6f6,2021-04-01T08:30:30Z,2021-04-01T08:35:43.140239+00:00,158.46.181.53,Go-http-client/1.1,1
